Обозначение	Тип	Наименование	Ревизия	Описание
ASDB.04.04.148.00.85	AS2_psassembly	ASDB.04.04.148.00.85	C	Крепежные изделия
ASDB.04.04.149.00.85	AS2_psassembly	ASDB.04.04.149.00.85	B	Крепежные изделия
ASDB.04.04.150.00.85	AS2_psassembly	ASDB.04.04.150.00.85	B	Крепежные изделия
ASDB.04.04.153.00.80	AS2_AssZhgut	ASDB.04.04.153.00.80	A	Жгут MC21-913201-EL101
ASDB.04.04.154.00.80	AS2_AssZhgut	ASDB.04.04.154.00.80	A	Жгут MC21-913202-EL102
ASDB.04.04.155.00.80	AS2_AssZhgut	ASDB.04.04.155.00.80	A	Жгут MC21-913204-EL104
ASDB.04.04.156.00.80	AS2_AssZhgut	ASDB.04.04.156.00.80	A	Жгут MC21-913206-EL106
ASDB.04.04.157.00.80	AS2_AssZhgut	ASDB.04.04.157.00.80	A	Жгут MC21-913208-EL108
ASDB.04.04.158.00.80	AS2_AssZhgut	ASDB.04.04.158.00.80	A	Жгут MC21-913211-EU111
ASDB.04.04.159.00.80	AS2_AssZhgut	ASDB.04.04.159.00.80	A	Жгут MC21-913107-EU007
ASDB.04.04.160.00.80	AS2_AssZhgut	ASDB.04.04.160.00.80	A	Жгут MC21-913203-ER103
ASDB.04.04.161.00.80	AS2_AssZhgut	ASDB.04.04.161.00.80	A	Жгут MC21-913205-ER105
ASDB.04.04.162.00.80	AS2_AssZhgut	ASDB.04.04.162.00.80	A	Жгут MC21-913207-ER107
ASDB.04.04.166.00.85	AS2_psassembly	ASDB.04.04.166.00.85	D	Крепежные изделия
ASDB.04.04.167.00.85	AS2_psassembly	ASDB.04.04.167.00.85	C	Крепежные изделия
ASDB.04.04.168.00.85	AS2_psassembly	ASDB.04.04.168.00.85	B	Крепежные изделия
ASDB.04.04.175.00.80	AS2_AssZhgut	ASDB.04.04.175.00.80	A	Жгут MC21-913210-ER110
ASDB.04.04.176.00.80	AS2_AssZhgut	ASDB.04.04.176.00.80	A	Жгут MC21-913209-ER109
ASDB.04.04.177.00.85	AS2_psassembly	ASDB.04.04.177.00.85	B	Крепежные изделия
ASDB.04.04.188.00.80	AS2_AssZhgut	ASDB.04.04.188.00.80	B	Жгут MC21-911408-A308
ASDB.04.04.189.00.80	AS2_AssZhgut	ASDB.04.04.189.00.80	C	Жгут MC21-911409-A309
ASDB.04.04.197.00.80	AS2_AssZhgut	ASDB.04.04.197.00.80	A	Жгут MC21-913115-EL015
ASDB.04.04.198.00.80	AS2_AssZhgut	ASDB.04.04.198.00.80	A	Жгут MC21-913116-ER016
ASDB.04.04.203.00.80	AS2_AssZhgut	ASDB.04.04.203.00.80	A	Жгут MC21-912201-ZL101
ASDB.04.04.204.00.80	AS2_AssZhgut	ASDB.04.04.204.00.80	A	Жгут MC21-912202-ZR102
ASDB.04.04.205.00.80	AS2_AssZhgut	ASDB.04.04.205.00.80	A	Жгут MC21-912203-ZL103
ASDB.04.04.206.00.80	AS2_AssZhgut	ASDB.04.04.206.00.80	A	Жгут MC21-912204-ZR104
ASDB.04.04.224.00.80	AS2_AssZhgut	ASDB.04.04.224.00.80	A	Жгут MC21-912301-ZL201
ASDB.04.04.225.00.80	AS2_AssZhgut	ASDB.04.04.225.00.80	A	Жгут MC21-912302-ZR202
ASDB.04.04.226.00.80	AS2_AssZhgut	ASDB.04.04.226.00.80	A	Жгут MC21-912303-ZL203
ASDB.04.04.227.00.80	AS2_AssZhgut	ASDB.04.04.227.00.80	A	Жгут MC21-912304-ZR204
ASDB.04.04.228.00.80	AS2_AssZhgut	ASDB.04.04.228.00.80	A	Жгут MC21-912305-ZL205
ASDB.04.04.229.00.80	AS2_AssZhgut	ASDB.04.04.229.00.80	A	Жгут MC21-912306-ZR206
ASDB.04.04.230.00.80	AS2_AssZhgut	ASDB.04.04.230.00.80	A	Жгут MC21-912307-ZL207
ASDB.04.04.231.00.80	AS2_AssZhgut	ASDB.04.04.231.00.80	A	Жгут MC21-912308-ZR208
ASDB.04.04.232.00.80	AS2_AssZhgut	ASDB.04.04.232.00.80	A	Жгут MC21-912309-ZL209
ASDB.04.04.233.00.80	AS2_AssZhgut	ASDB.04.04.233.00.80	A	Жгут MC21-912310-ZR210
ASDB.04.04.235.00.80	AS2_AssZhgut	ASDB.04.04.235.00.80	A	Жгут MC21-912313-ZL213
ASDB.04.04.236.00.80	AS2_AssZhgut	ASDB.04.04.236.00.80	A	Жгут MC21-912314-ZR214
ASDB.04.04.237.00.80	AS2_AssZhgut	ASDB.04.04.237.00.80	A	Жгут MC21-912315-ZL215
ASDB.04.04.238.00.80	AS2_AssZhgut	ASDB.04.04.238.00.80	A	Жгут MC21-912316-ZR216
ASDB.04.04.242.00.80	AS2_AssZhgut	ASDB.04.04.242.00.80	A	Жгут MC21-912320-ZD220
ASDB.04.04.243.00.80	AS2_AssZhgut	ASDB.04.04.243.00.80	A	Жгут MC21-912321-ZD221
ASDB.04.04.252.00.85	AS2_psassembly	ASDB.04.04.252.00.85	E	Крепежные изделия
ASDB.04.04.258.00.80	AS2_AssZhgut	ASDB.04.04.258.00.80	C	Жгут МС21-912414-Z314
ASDB.04.04.259.00.80	AS2_AssZhgut	ASDB.04.04.259.00.80	A	Жгут МС21-912415-Z315
ASDB.04.04.261.00.80	AS2_AssZhgut	ASDB.04.04.261.00.80	B	Жгут MC21-911411-A311
ASDB.04.04.262.00.80	AS2_AssZhgut	ASDB.04.04.262.00.80	C	Жгут MC21-911412-A312
ASDB.04.04.263.00.80	AS2_AssZhgut	ASDB.04.04.263.00.80	C	Жгут MC21-911413-A313
ASDB.04.04.264.00.80	AS2_AssZhgut	ASDB.04.04.264.00.80	B	Жгут MC21-911414-A314
ASDB.04.04.265.00.80	AS2_AssZhgut	ASDB.04.04.265.00.80	C	Жгут MC21-911417-A317
ASDB.04.04.266.00.80	AS2_AssZhgut	ASDB.04.04.266.00.80	C	Жгут MC21-911312-A212
ASDB.04.04.268.00.85	AS2_psassembly	ASDB.04.04.268.00.85	A	Крепежные изделия
ASDB.04.04.302.00.80	AS2_AssZhgut	ASDB.04.04.302.00.80	A	Жгут MC21-912219-ZL119
ASDB.04.04.303.00.80	AS2_AssZhgut	ASDB.04.04.303.00.80	A	Жгут MC21-912220-ZR120
ASDB.04.04.304.00.80	AS2_AssZhgut	ASDB.04.04.304.00.80	A	Жгут MC21-912101-ZU001
ASDB.04.04.305.00.80	AS2_AssZhgut	ASDB.04.04.305.00.80	A	Жгут MC21-912221-ZR121
ASDB.04.04.306.00.80	AS2_AssZhgut	ASDB.04.04.306.00.80	A	Жгут МC21-918301-JR001
ASDB.04.04.307.00.80	AS2_AssZhgut	ASDB.04.04.307.00.80	A	Жгут МC21-918302-JR002
ASDB.04.04.308.00.80	AS2_AssZhgut	ASDB.04.04.308.00.80	A	Жгут МC21-918303-JL003
ASDB.04.04.309.00.80	AS2_AssZhgut	ASDB.04.04.309.00.80	A	Жгут МC21-918304-JL004
ASDB.04.04.310.00.80	AS2_AssZhgut	ASDB.04.04.310.00.80	A	Жгут МC21-918305-JL005
ASDB.04.04.311.00.80	AS2_AssZhgut	ASDB.04.04.311.00.80	A	Жгут МC21-918306-JR006
ASDB.04.04.312.00.80	AS2_AssZhgut	ASDB.04.04.312.00.80	A	Жгут МC21-918307-JL007
ASDB.04.04.313.00.80	AS2_AssZhgut	ASDB.04.04.313.00.80	A	Жгут МC21-918308-JR008
ASDB.04.04.314.00.80	AS2_AssZhgut	ASDB.04.04.314.00.80	A	Жгут МC21-918309-JL009
ASDB.04.04.315.00.80	AS2_AssZhgut	ASDB.04.04.315.00.80	A	Жгут MC21-918310-JR010
ASDB.04.04.316.00.80	AS2_AssZhgut	ASDB.04.04.316.00.80	A	Жгут MC21-918311-JL011
ASDB.04.04.317.00.80	AS2_AssZhgut	ASDB.04.04.317.00.80	A	Жгут MC21-918312-JR012
